PERMNO,date,TICKER,PRC,RET,SHROUT,vwretd,sprtrn,SECTOR
84788,2024-08-30,AMZN,178.5,-0.045352,10495567.0,0.021572,0.022835,Consumer Staples
84788,2024-09-30,AMZN,186.33,0.043866,10511000.0,0.020969,0.020197,Consumer Staples
84788,2024-10-31,AMZN,186.39999,0.000376,10515011.0,-0.008298,-0.009897,Consumer Staples
84788,2024-11-29,AMZN,207.89,0.115290,10515011.0,0.064855,0.057301,Consumer Staples
84788,2024-12-31,AMZN,219.39,0.055318,10515011.0,-0.031582,-0.02499,Consumer Staples
86580,2021-05-28,NVDA,649.78003,0.082281,623000.0,0.007092,0.005487,Energy
86580,2021-06-30,NVDA,800.09998,0.231586,623000.0,0.023422,0.022214,Energy
86580,2021-07-30,NVDA,194.99001,-0.025172,2500000.0,0.011828,0.022748,Energy
86580,2021-08-31,NVDA,223.85001,0.148213,2500000.0,0.027146,0.02899,Energy
86580,2021-09-30,NVDA,207.16,-0.074559,2500000.0,-0.042243,-0.047569,Energy
86580,2021-10-29,NVDA,255.67,0.234167,2502000.0,0.064651,0.069144,Energy
86580,2021-11-30,NVDA,326.76001,0.278054,2500000.0,-0.01835,-0.008334,Energy
86580,2021-12-31,NVDA,294.10999,-0.099798,2500000.0,0.033341,0.043613,Energy
86580,2022-01-31,NVDA,244.86,-0.167454,2506000.0,-0.059822,-0.052585,Energy
86580,2022-02-28,NVDA,243.85001,-0.004125,2506000.0,-0.021838,-0.031361,Energy
86580,2022-03-31,NVDA,272.85999,0.119131,2503959.0,0.030506,0.035773,Energy
86580,2022-04-29,NVDA,185.47,-0.320274,2500000.0,-0.089387,-0.087957,Energy
86580,2022-05-31,NVDA,186.72,0.006740,2500000.0,-0.002113,5.3e-05,Energy
86580,2022-06-30,NVDA,151.59,-0.187928,2500000.0,-0.083998,-0.08392,Energy
86580,2022-07-29,NVDA,181.63,0.198166,2489000.0,0.090351,0.091116,Energy
86580,2022-08-31,NVDA,150.94,-0.168970,2490000.0,-0.036233,-0.04244,Energy
86580,2022-09-30,NVDA,121.39,-0.195508,2490000.0,-0.091323,-0.093396,Energy
86580,2022-10-31,NVDA,134.97,0.111871,2460000.0,0.077394,0.079863,Energy
86580,2022-11-30,NVDA,169.23,0.254131,2460000.0,0.052354,0.053753,Energy
86580,2022-12-30,NVDA,146.14,-0.136442,2460000.0,-0.057119,-0.058971,Energy
86580,2023-01-31,NVDA,195.37,0.336869,2466000.0,0.071823,0.061753,Energy
86580,2023-02-28,NVDA,232.16,0.188309,2470000.0,-0.024666,-0.026112,Energy
